Z,z,z,male
ACx,ACy,ACz,encoder1,encoder2,time
-83,9,298,0,14,0.1
-96,-11,230,0,14,0.2
-128,2,201,0,14,0.3
-62,-34,164,0,14,0.4
-41,-60,193,0,14,0.5
-29,-62,237,0,14,0.6
-3,-67,258,0,14,0.7
13,-59,251,0,14,0.8
-5,-38,263,0,14,0.9
0,-47,227,0,14,1.0
9,-26,235,0,14,1.1
18,-50,221,0,14,1.2
4,-50,243,0,14,1.3
-14,-59,257,0,14,1.4
-30,-73,220,0,14,1.5
22,-31,211,0,14,1.6
9,-25,215,0,14,1.7
-24,2,227,0,14,1.8
-24,25,254,0,14,1.9
18,38,250,0,14,2.0
25,29,252,0,14,2.1
11,0,245,0,14,2.2
13,-1,240,0,14,2.3
27,-6,230,0,14,2.4
30,-10,233,0,14,2.5
21,-13,233,0,14,2.6
17,-2,237,0,14,2.7
-26,-5,226,0,14,2.8
17,-6,256,0,14,2.9
0,-4,257,0,14,3.0
-29,9,230,0,15,3.1
-27,25,235,0,15,3.2
-26,22,233,0,15,3.3
17,27,328,0,15,3.4
-39,36,245,0,15,3.5
-40,-10,244,0,15,3.6
-24,-7,245,0,15,3.7
-31,-10,236,0,15,3.8
-34,3,236,0,15,3.9
-21,9,239,0,15,4.0
-27,3,240,0,15,4.1
-29,8,242,0,15,4.2
-19,1,243,0,15,4.3
-29,9,240,0,15,4.4
-32,6,240,0,15,4.5
-29,7,241,0,15,4.6
-26,5,240,0,15,4.7
-27,7,240,0,15,4.8
-26,6,240,0,15,4.9
-27,7,240,0,15,5.0
-27,7,241,0,15,5.1
-28,7,240,0,15,5.2
-26,7,240,0,15,5.3
-26,7,241,0,15,5.4
-27,6,241,0,15,5.5
-27,7,243,0,15,5.6
-28,7,245,0,15,5.7
-26,7,245,0,15,5.8
-36,13,231,0,15,5.9
-28,4,223,0,15,6.0
-27,5,244,0,15,6.1
-28,8,240,0,15,6.2
-27,7,241,0,15,6.3
-28,7,238,0,15,6.4
-27,6,240,0,15,6.5
-27,6,241,0,15,6.6
-27,6,240,0,15,6.7
-27,7,241,0,15,6.8
-27,8,239,0,15,6.9
-27,8,241,0,15,7.0
-26,6,241,0,15,7.1
-28,7,238,0,15,7.2
-27,6,241,0,15,7.3
-26,6,241,0,15,7.4
-25,6,240,0,15,7.5
-27,6,241,0,15,7.6
-27,6,241,0,15,7.7
-26,6,241,0,15,7.8
-27,6,241,0,15,7.9
-27,5,240,0,15,8.0
-28,7,241,0,15,8.1
-27,8,241,0,15,8.2
-27,6,240,0,15,8.3
-27,7,240,0,15,8.4
-26,7,240,0,15,8.5
-27,7,240,0,15,8.6
-27,6,240,0,15,8.7
-28,7,240,0,15,8.8
-27,6,241,0,15,8.9
-27,7,240,0,15,9.0
-28,6,239,0,15,9.1
-28,7,240,0,15,9.2
-27,6,240,0,15,9.3
-27,6,240,0,15,9.4
-27,6,242,0,15,9.5
-28,7,240,0,15,9.6
-26,7,239,0,15,9.7
-27,7,239,0,15,9.8
-28,8,242,0,15,9.9
-26,7,243,0,15,10.0
-27,7,242,0,15,10.1
-26,6,243,0,15,10.2
-27,7,239,0,15,10.3
-26,6,230,0,15,10.4
-28,7,236,0,15,10.5
-29,7,237,0,15,10.6
-28,8,242,0,15,10.7
-27,6,241,0,15,10.8
-27,7,241,0,15,10.9
-27,6,240,0,15,11.0
-27,7,239,0,15,11.1
-27,6,241,0,15,11.2
-27,7,239,0,15,11.3
-27,7,240,0,15,11.4
-27,6,241,0,15,11.5
-27,6,240,0,15,11.6
-27,7,240,0,15,11.7
-28,8,241,0,15,11.8
-27,7,240,0,15,11.9
-28,7,241,0,15,12.0
-28,7,240,0,15,12.1
-27,8,241,0,15,12.2
-27,8,241,0,15,12.3
-28,8,242,0,15,12.4
-27,7,240,0,15,12.5
-26,7,242,0,15,12.6
-27,8,226,0,15,12.7
-27,7,240,0,15,12.8
-27,6,235,0,15,12.9
-27,6,238,0,15,13.0
-27,6,240,0,15,13.1
-27,6,240,0,15,13.2
-17,6,189,0,15,13.3
-24,6,225,0,15,13.4
-28,6,240,0,15,13.5
-27,8,240,0,15,13.6
-31,4,238,0,15,13.7
-29,7,229,0,15,13.8
-25,5,242,0,15,13.9
-26,12,239,0,15,14.0
-30,3,241,0,15,14.1
-24,7,241,0,15,14.2
-27,4,240,0,15,14.3
-28,8,254,0,15,14.4
-21,6,255,0,15,14.5
-29,6,241,0,15,14.6
-28,7,239,0,15,14.7
-24,5,241,0,15,14.8
-25,8,240,0,15,14.9
-26,3,241,0,15,15.0
-28,6,240,0,15,15.1
-25,8,242,0,15,15.2
-26,9,240,0,15,15.3
-25,7,239,0,15,15.4
-28,9,240,0,15,15.5
-20,9,237,0,15,15.6
-3,9,262,0,15,15.7
-30,14,270,0,15,15.8
-19,14,284,0,15,15.9
-22,23,266,0,15,16.0
-19,22,263,0,15,16.1
-26,10,263,0,15,16.2
-38,1,247,0,15,16.3
-34,0,235,0,15,16.4
-41,-9,221,0,15,16.5
-56,-13,202,0,15,16.6
-53,-29,161,0,15,16.7
-48,-26,158,0,15,16.8
-41,-26,175,0,15,16.9
-52,-32,196,0,15,17.0
-35,-20,222,0,15,17.1
-28,-26,228,0,15,17.2
-30,-3,248,0,15,17.3
-23,-18,240,0,15,17.4
-20,-8,251,0,15,17.5
-23,-2,259,0,15,17.6
-24,-6,254,0,15,17.7
-21,0,257,0,15,17.8
-17,0,261,0,15,17.9
-24,1,260,0,15,18.0
-22,4,253,0,15,18.1
-23,8,249,0,15,18.2
-27,17,241,0,15,18.3
-33,11,250,0,15,18.4
-21,17,253,0,15,18.5
-23,17,275,0,15,18.6
-40,9,292,0,15,18.7
-30,20,299,0,15,18.8
-26,16,265,0,15,18.9
-33,2,245,0,15,19.0
-46,-2,232,0,15,19.1
-50,-20,223,0,15,19.2
-40,-22,200,0,15,19.3
-49,-43,174,0,15,19.4
-64,-49,152,0,15,19.5
-58,-54,152,0,15,19.6
-60,-48,159,0,15,19.7
-54,-47,176,0,15,19.8
-60,-37,193,0,15,19.9
-46,-17,230,0,15,20.0
-42,-19,237,0,15,20.1
-32,4,255,0,15,20.2
-27,9,273,0,15,20.3
-20,9,269,0,15,20.4
-23,4,264,0,15,20.5
-21,17,281,0,15,20.6
-25,17,262,0,15,20.7
-14,12,250,0,15,20.8
-25,24,235,0,15,20.9
-38,9,244,0,15,21.0
-38,-5,234,0,15,21.1
-29,10,242,0,15,21.2
-28,4,246,0,15,21.3
-26,15,302,0,15,21.4
-44,-3,310,0,15,21.5
-28,3,298,0,15,21.6
-20,-4,265,0,15,21.7
-13,-13,242,0,15,21.8
-22,-21,225,0,15,21.9
-39,-39,203,0,15,22.0
-36,-28,212,0,15,22.1
-49,-52,165,0,15,22.2
-46,-57,147,0,15,22.3
-47,-61,149,0,15,22.4
-50,-60,169,0,15,22.5
-39,-47,190,0,15,22.6
-34,-40,213,0,15,22.7
-36,-17,236,0,15,22.8
-27,-18,246,0,15,22.9
-28,-16,254,0,15,23.0
-36,-2,276,0,15,23.1
-27,1,275,0,15,23.2
-20,-6,266,0,15,23.3
-21,1,256,0,15,23.4
-19,1,256,0,15,23.5
-20,0,250,0,15,23.6
42,-41,257,0,15,23.7
-43,37,208,0,15,23.8
-40,9,233,0,15,23.9
-31,6,238,0,15,24.0
-27,3,243,0,15,24.1
-25,22,260,0,15,24.2
-45,-1,331,0,15,24.3
-23,21,323,0,15,24.4
-29,0,287,0,15,24.5
-30,-7,248,0,15,24.6
-25,-13,232,0,15,24.7
-38,-27,198,0,15,24.8
-42,-39,151,0,15,24.9
-54,-64,126,0,15,25.0
-58,-57,133,0,15,25.1
-55,-56,157,0,15,25.2
-49,-52,185,0,15,25.3
-46,-32,209,0,15,25.4
-37,-20,223,0,15,25.5
-39,-2,252,0,15,25.6
-24,-2,256,0,15,25.7
-22,11,282,0,15,25.8
-34,2,286,0,15,25.9
-24,-1,278,0,15,26.0
-16,-5,258,0,15,26.1
-25,-4,240,0,15,26.2
-27,-4,235,0,15,26.3
-52,28,240,0,15,26.4
-33,-83,276,0,15,26.5
-36,3,240,0,15,26.6
-32,8,238,0,15,26.7
-27,8,244,0,15,26.8
-31,12,253,0,15,26.9
-14,9,365,0,15,27.0
-25,2,353,0,15,27.1
-18,-1,281,0,15,27.2
-21,-4,229,0,15,27.3
-29,-17,180,0,15,27.4
-31,-31,132,0,15,27.5
-38,-32,116,0,15,27.6
-47,-57,126,0,15,27.7
-50,-47,167,0,15,27.8
-35,-37,198,0,15,27.9
-25,-19,238,0,15,28.0
-22,-3,257,0,15,28.1
-11,6,273,0,15,28.2
-26,12,290,0,15,28.3
-31,9,276,0,15,28.4
-26,7,262,0,15,28.5
-29,14,260,0,15,28.6
-18,11,252,0,15,28.7
-15,14,237,0,15,28.8
-30,-12,225,0,15,28.9
-27,2,243,0,15,29.0
-33,17,243,0,15,29.1
-32,21,236,0,15,29.2
-23,3,247,0,15,29.3
-25,3,241,0,15,29.4
-26,7,241,0,15,29.5
-28,6,239,0,15,29.6
-27,6,241,0,15,29.7
-27,7,240,0,15,29.8
-27,5,240,0,15,29.9
-27,6,241,0,15,30.0
-28,7,245,0,15,30.1
-27,5,239,0,15,30.2
-27,6,244,0,15,30.3
-28,5,241,0,15,30.4
-28,8,240,0,15,30.5
-26,6,240,0,15,30.6
-27,6,239,0,15,30.7
-27,7,239,0,15,30.8
-28,7,238,0,15,30.9
-27,8,238,0,15,31.0
-26,6,240,0,15,31.1
-28,6,217,0,15,31.2
-26,11,247,0,15,31.3
-27,5,240,0,15,31.4
-29,9,243,0,15,31.5
-28,-4,241,0,15,31.6
-27,-1,239,0,15,31.7
-28,1,242,0,15,31.8
-26,5,249,0,15,31.9
-26,2,226,0,15,32.0
-25,13,254,0,18,32.1
-20,9,252,0,18,32.2
-29,3,246,0,18,32.3
-26,10,248,2,18,32.4
-27,6,240,2,18,32.5
-25,0,248,2,18,32.6
-27,1,241,2,18,32.7
-29,4,241,2,18,32.8
-24,3,236,2,18,32.9
-30,9,246,2,18,33.0
-25,4,235,2,20,33.1
-21,17,248,2,20,33.2
-27,15,236,3,20,33.3
-20,17,245,3,20,33.4
-33,33,237,3,20,33.5
-27,15,238,3,20,33.6
-25,6,243,3,20,33.7
-25,5,242,3,20,33.8
-28,6,242,3,20,33.9
-27,6,239,3,20,34.0
-26,7,241,3,20,34.1
-27,8,240,3,20,34.2
-26,5,239,3,20,34.3
-27,8,240,3,20,34.4
-27,7,240,3,20,34.5
-26,5,243,3,20,34.6
-24,7,228,3,20,34.7
-34,7,246,3,20,34.8
-23,12,241,3,20,34.9
-25,-4,251,3,20,35.0
-28,-24,242,3,20,35.1
-30,-32,236,3,20,35.2
-28,-62,227,3,20,35.3
-33,-75,222,3,20,35.4
-33,-95,218,3,20,35.5
-41,-111,201,3,20,35.6
-28,-122,208,3,20,35.7
-29,-126,212,3,20,35.8
-37,-139,202,3,20,35.9
-32,-163,187,3,20,36.0
-53,-171,164,3,20,36.1
-56,-192,144,3,20,36.2
-65,-196,120,3,20,36.3
-69,-210,106,3,20,36.4
-60,-210,87,3,20,36.5
-49,-219,44,3,20,36.6
-55,-244,61,3,20,36.7
-39,-247,31,3,20,36.8
-18,-251,2,3,20,36.9
-24,-254,-22,3,20,37.0
-27,-254,-11,3,20,37.1
-18,-256,-34,3,20,37.2
-19,-253,-18,3,20,37.3
-18,-256,-24,3,20,37.4
-23,-257,-25,3,20,37.5
-12,-255,-28,3,20,37.6
-11,-255,-29,3,20,37.7
-20,-254,-26,3,20,37.8
-29,-256,-22,3,20,37.9
-16,-256,-30,3,20,38.0
-21,-256,-24,3,20,38.1
-20,-254,-26,3,20,38.2
-18,-255,-29,3,20,38.3
-20,-255,-26,3,20,38.4
-19,-255,-27,3,20,38.5
-20,-255,-26,3,20,38.6
-21,-256,-26,3,20,38.7
-20,-255,-24,3,20,38.8
-18,-256,-26,3,20,38.9
-20,-256,-25,3,20,39.0
-19,-254,-24,3,20,39.1
-20,-255,-26,3,20,39.2
-20,-255,-25,3,20,39.3
-20,-255,-27,3,20,39.4
-20,-255,-26,3,20,39.5
-21,-255,-25,3,20,39.6
-19,-255,-27,3,20,39.7
-18,-255,-27,3,20,39.8
-20,-255,-26,3,20,39.9
-20,-254,-25,3,20,40.0
-19,-256,-26,3,20,40.1
-20,-254,-27,3,20,40.2
-19,-256,-25,3,20,40.3
-19,-254,-27,3,20,40.4
-20,-256,-25,3,20,40.5
-18,-255,-26,3,20,40.6
-19,-255,-27,3,20,40.7
-19,-254,-26,3,20,40.8
-20,-256,-25,3,20,40.9
-21,-255,-27,3,20,41.0
-20,-254,-24,3,20,41.1
-20,-255,-26,3,20,41.2
-19,-255,-26,3,20,41.3
-21,-255,-26,3,20,41.4
-21,-255,-26,3,20,41.5
-19,-255,-25,3,20,41.6
-20,-255,-26,3,20,41.7
-19,-255,-26,3,20,41.8
-20,-255,-27,3,20,41.9
-21,-255,-28,3,20,42.0
-19,-255,-26,3,20,42.1
-20,-255,-28,3,20,42.2
-17,-253,-23,3,20,42.3
-13,-264,-28,3,20,42.4
-31,-282,-11,3,20,42.5
-43,-233,-125,3,20,42.6
53,-260,-108,3,20,42.7
-27,-253,-72,3,20,42.8
-23,-249,-65,3,20,42.9
-23,-248,-65,3,20,43.0
-27,-249,-67,3,20,43.1
-41,-247,-73,3,20,43.2
-26,-249,-68,3,20,43.3
-34,-247,-73,3,20,43.4
-27,-249,-66,3,20,43.5
-33,-251,-62,3,20,43.6
-27,-248,-67,3,20,43.7
-31,-250,-66,3,20,43.8
-36,-248,-69,3,20,43.9
-26,-249,-67,3,20,44.0
-37,-250,-65,3,20,44.1
-41,-256,-54,3,20,44.2
-39,-261,-101,3,20,44.3
-5,-122,38,3,20,44.4
14,-157,239,3,20,44.5
26,-56,276,3,20,44.6
32,-6,233,3,20,44.7
27,25,217,3,20,44.8
-14,40,224,3,20,44.9
-20,-3,233,3,20,45.0
-24,-22,214,3,20,45.1
-61,9,256,3,20,45.2
-25,7,249,3,20,45.3
-26,4,232,3,20,45.4
-27,6,240,3,20,45.5
-25,5,239,3,20,45.6
-19,6,241,3,20,45.7
-35,-45,239,3,20,45.8
-30,-117,239,3,20,45.9
-14,37,242,3,21,46.0
-23,104,262,3,21,46.1
-20,144,241,3,21,46.2
-24,158,253,3,21,46.3
-8,123,212,3,21,46.4
-16,-3,214,3,22,46.5
-42,-97,200,5,22,46.6
-29,-178,229,5,24,46.7
-26,-152,223,5,24,46.8
10,-77,211,5,26,46.9
-51,97,266,5,26,47.0
-37,183,266,5,27,47.1
-17,135,242,5,27,47.2
-21,171,165,5,27,47.3
-11,10,234,5,28,47.4
1,-73,225,5,28,47.5
-38,-140,229,5,29,47.6
-36,-162,243,5,29,47.7
-10,-118,219,5,29,47.8
-51,-8,280,5,30,47.9
-27,130,240,5,32,48.0
-20,153,247,5,32,48.1
-20,145,241,5,32,48.2
-7,101,220,5,32,48.3
-30,42,257,5,35,48.4
-14,-39,193,5,35,48.5
-29,-134,272,5,37,48.6
-51,-170,269,5,37,48.7
-40,-126,233,5,37,48.8
-52,-75,299,5,39,48.9
-12,-43,172,5,39,49.0
-12,180,266,5,40,49.1
-27,179,240,5,40,49.2
-23,148,253,5,40,49.3
-22,115,220,5,40,49.4
-31,9,266,6,41,49.5
-7,-72,236,6,44,49.6
-39,-176,220,6,44,49.7
-38,-160,231,6,44,49.8
-53,-103,254,6,44,49.9
-39,-53,253,6,45,50.0
-22,52,208,6,45,50.1
-51,159,303,6,47,50.2
-21,164,244,6,47,50.3
-22,135,222,6,47,50.4
-36,18,180,6,50,50.5
-18,-45,262,10,50,50.6
-35,-148,209,10,53,50.7
-34,-145,241,10,53,50.8
-27,-121,240,10,53,50.9
-26,-96,280,10,54,51.0
-33,26,255,10,54,51.1
-28,228,181,10,55,51.2
-13,79,251,10,55,51.3
-19,25,233,10,55,51.4
-22,4,230,10,55,51.5
-24,-20,237,10,55,51.6
-26,5,241,10,55,51.7
-25,19,242,10,55,51.8
-26,27,243,10,55,51.9
-29,25,247,10,55,52.0
-24,33,241,10,55,52.1
-25,22,242,10,57,52.2
-25,32,240,10,57,52.3
-25,10,234,10,57,52.4
-14,16,228,13,57,52.5
-31,-7,250,13,59,52.6
-35,-29,224,13,59,52.7
-27,-53,240,13,59,52.8
-27,-23,236,13,59,52.9
-21,-18,243,13,59,53.0
-34,-6,240,13,59,53.1
-27,3,237,13,59,53.2
-22,9,234,13,59,53.3
-29,4,234,13,60,53.4
-26,4,229,13,60,53.5
-22,3,262,13,60,53.6
-27,11,236,15,60,53.7
-30,3,237,15,60,53.8
-27,5,235,15,60,53.9
-27,4,242,15,60,54.0
-26,15,241,15,62,54.1
-20,7,241,15,62,54.2
-21,23,242,15,62,54.3
-26,22,245,15,62,54.4
-27,11,228,17,62,54.5
-27,27,239,17,62,54.6
-27,28,240,17,62,54.7
-27,34,243,17,62,54.8
-21,24,242,20,62,54.9
-28,4,239,20,62,55.0
-30,0,244,20,62,55.1
-25,6,241,20,63,55.2
-25,4,238,20,63,55.3
-34,15,237,20,63,55.4
-40,12,237,20,63,55.5
-37,5,250,21,63,55.6
-23,5,239,21,63,55.7
-22,0,245,21,63,55.8
-22,-4,245,21,65,55.9
-30,-10,243,21,65,56.0
-33,-16,237,21,65,56.1
-26,-30,237,21,65,56.2
-29,-6,243,21,65,56.3
-28,-11,239,21,65,56.4
-28,-1,235,21,65,56.5
-22,1,251,21,65,56.6
-33,6,239,21,66,56.7
-28,11,223,21,66,56.8
-27,5,234,21,66,56.9
-25,12,240,21,66,57.0
-23,7,223,23,66,57.1
-23,11,241,23,66,57.2
-32,17,244,23,66,57.3
-24,6,246,23,68,57.4
-28,8,226,23,68,57.5
-30,8,233,23,68,57.6
-18,15,241,23,68,57.7
-29,30,238,24,68,57.8
-24,52,244,24,68,57.9
-25,37,233,24,68,58.0
-25,25,230,26,68,58.1
-30,11,245,26,68,58.2
-27,7,235,26,68,58.3
-31,2,235,26,70,58.4
-29,4,237,26,70,58.5
-28,2,239,26,70,58.6
-31,3,244,26,70,58.7
-39,4,245,28,70,58.8
-36,-2,243,28,70,58.9
-25,1,242,28,70,59.0
-21,-6,236,28,70,59.1
-27,-22,242,28,71,59.2
-28,-27,241,28,71,59.3
-29,-17,237,28,71,59.4
-37,-10,235,28,73,59.5
-31,-3,243,28,73,59.6
-31,7,241,28,73,59.7
-32,11,240,29,73,59.8
-24,14,243,29,73,59.9
-22,4,233,29,73,60.0
-31,5,250,29,75,60.1
-29,28,237,29,75,60.2
-21,80,247,29,75,60.3
-26,56,239,29,75,60.4
-31,36,249,29,75,60.5
-30,22,246,29,76,60.6
-32,1,232,29,76,60.7
-35,-24,234,29,76,60.8
-22,-58,250,32,76,60.9
-31,-50,240,32,76,61.0
-35,-29,241,34,76,61.1
-26,4,247,34,76,61.2
-27,36,224,34,76,61.3
-25,64,237,34,79,61.4
-20,64,244,34,79,61.5
-33,63,249,34,79,61.6
-29,36,256,34,80,61.7
-44,-4,222,35,80,61.8
-20,-37,264,35,80,61.9
-27,-3,261,35,80,62.0
-35,-61,238,35,81,62.1
-32,-43,237,35,81,62.2
-29,-53,246,35,83,62.3
-28,-4,244,35,83,62.4
-33,23,222,36,83,62.5
-22,21,218,36,83,62.6
-29,38,227,36,85,62.7
-26,74,236,36,85,62.8
-27,53,246,36,85,62.9
-24,45,243,36,85,63.0
-28,46,249,36,85,63.1
-28,6,253,36,86,63.2
-19,-3,253,36,86,63.3
-27,-2,240,38,86,63.4
-26,6,239,38,86,63.5
-34,-12,221,38,86,63.6
-29,-58,238,38,89,63.7
-27,-42,246,38,89,63.8
-29,-30,242,38,89,63.9
-30,5,240,38,91,64.0
-16,16,249,38,91,64.1
-41,19,239,40,91,64.2
-29,19,246,40,91,64.3
-28,13,254,40,91,64.4
-27,17,236,40,92,64.5
-26,14,236,40,92,64.6
-25,22,234,40,92,64.7
-26,38,233,40,92,64.8
-28,32,243,40,92,64.9
-24,32,240,40,92,65.0
-28,27,244,40,92,65.1
-20,4,239,40,94,65.2
-30,9,236,40,94,65.3
-24,6,229,40,94,65.4
-35,0,245,40,94,65.5
-29,-1,237,43,94,65.6
-22,-1,241,43,94,65.7
-24,-10,236,43,94,65.8
-27,-10,232,43,94,65.9
-30,-8,242,43,94,66.0
-27,3,240,43,94,66.1
-27,2,239,43,95,66.2
-29,4,239,43,95,66.3
-37,-2,238,43,95,66.4
-33,-10,231,43,95,66.5
-26,-11,238,43,95,66.6
-23,-10,254,43,95,66.7
-22,-3,238,43,95,66.8
-29,5,232,43,95,66.9
-22,15,250,43,95,67.0
-26,14,246,43,95,67.1
-29,14,245,43,100,67.2
-28,20,235,43,100,67.3
-21,15,235,43,100,67.4
-30,16,234,43,100,67.5
-33,-6,245,45,100,67.6
-31,-21,222,45,100,67.7
-18,1,253,45,100,67.8
-38,1,238,45,100,67.9
-23,27,235,45,102,68.0
-28,39,247,45,102,68.1
-30,30,240,45,102,68.2
-25,24,240,45,102,68.3
-26,12,239,45,102,68.4
-27,11,240,45,102,68.5
-25,23,237,45,102,68.6
-30,26,233,45,102,68.7
-17,44,229,45,102,68.8
-35,38,241,45,104,68.9
-20,29,249,45,104,69.0
-38,42,258,46,104,69.1
-34,-10,258,46,104,69.2
-40,-12,268,46,106,69.3
-41,14,246,49,106,69.4
-22,-20,277,49,106,69.5
-31,-13,241,49,107,69.6
-32,-18,237,49,107,69.7
-37,-39,242,49,107,69.8
-33,-37,235,49,107,69.9
-30,-28,245,49,107,70.0
-26,-46,244,49,107,70.1
-27,-30,243,49,107,70.2
-29,-39,211,49,109,70.3
-20,19,223,49,109,70.4
-16,13,249,52,109,70.5
-25,16,251,52,112,70.6
-16,18,271,52,112,70.7
-20,29,264,54,112,70.8
-26,38,229,54,112,70.9
-24,25,245,54,113,71.0
-16,32,251,54,113,71.1
-28,25,238,54,113,71.2
-24,28,240,54,113,71.3
-27,21,238,54,113,71.4
-28,15,241,54,113,71.5
-27,0,241,54,113,71.6
1:11